gen_sent	category	subject	masked_sent	few_prob	some_prob	many_prob	most_prob	all_prob
Telephones are used to communicate with the outside world.	quasidef	Telephones	telephones are used to communicate with the outside world.means that<mask> telephones are used to communicate with the outside world.	1.8305405546925613e-06	0.000641734164673835	0.0001717065752018243	0.00015640399942640215	0.00010076191392727196
Stilettos can be purchased online.	quasidef	Stilettos	stilettos can be purchased online.means that<mask> stilettos can be purchased online.	1.9940058336942457e-05	0.0002745855017565191	7.880943303462118e-05	0.00022764326422475278	0.0018019790295511484
Spaceships have to be able to move.	invirtue	Spaceships	spaceships have to be able to move.means that<mask> spaceships have to be able to move.	3.5688358934748976e-07	0.00017117119568865746	5.324068297341e-06	0.0004387678054627031	0.0036193188279867172
Spaceships have some sort of power.	quasidef	Spaceships	spaceships have some sort of power.means that<mask> spaceships have some sort of power.	1.9560422970243962e-07	0.00040441955206915736	8.307077223435044e-06	0.0003152363351546228	0.002890147501602769
Spaceships are used to travel.	quasidef	Spaceships	spaceships are used to travel.means that<mask> spaceships are used to travel.	1.5810182674158568e-07	0.0003328158927615732	3.468454087851569e-05	0.00032398576149716973	0.0003868465719278902
Skunks should be left alone.	character	Skunks	skunks should be left alone.means that<mask> skunks should be left alone.	1.65631172421854e-05	0.0012127605732530355	7.211169577203691e-05	7.303305028472096e-05	0.002533823484554887
Raccoons are found in wooded areas.	invirtue	Raccoons	raccoons are found in wooded areas.means that<mask> raccoons are found in wooded areas.	7.709182682447135e-06	0.00011007393186446279	5.547944601858035e-05	0.0001561945246066898	3.1331393984146416e-05
Pecans should be roasted.	invirtue	Pecans	pecans should be roasted.means that<mask> pecans should be roasted.	1.0546254998189397e-06	9.151335689239204e-06	3.1490856144955615e-06	2.5682156774564646e-05	0.0008516550878994167
Pecans have a nutty aroma.	quasidef	Pecans	pecans have a nutty aroma.means that<mask> pecans have a nutty aroma.	1.998271841330279e-07	2.8732101782225072e-06	2.5448505525105247e-08	1.8653734059626004e-06	6.903896405674459e-07
Pecans have a hard shell.	quasidef	Pecans	pecans have a hard shell.means that<mask> pecans have a hard shell.	5.711563517252216e-06	0.0004268358461558819	6.384129846992437e-06	0.0002582705346867442	0.0002365436521358788
Pecans can be found in their natural state in the wild.	character	Pecans	pecans can be found in their natural state in the wild.means that<mask> pecans can be found in their natural state in the wild.	0.0007077593472786248	0.00012949141091667116	0.00016534797032363713	0.0003049899241887033	0.0002868364390451461
Lorries are used to transport goods from one point to another.	quasidef	Lorries	lorries are used to transport goods from one point to another.means that<mask> lorries are used to transport goods from one point to another.	6.529313054670638e-07	0.00018631122657097876	0.00012651689758058637	4.133260154048912e-05	7.00793752912432e-05
Insulations are made of a material.	character	Insulations	insulations are made of a material.means that<mask> insulations are made of a material.	1.6035092187394184e-07	4.0910432289820164e-05	3.874583399010589e-06	0.00012727585271932185	0.0014638389693573117
Ice creams have a thick, creamy consistency.	quasidef	Ice creams	ice creams have a thick, creamy consistency.means that<mask> ice creams have a thick, creamy consistency.	0.0004500023787841201	0.003844300052151084	0.00010805665806401521	0.0026857738848775625	0.0009745846036821604
Hotel rooms are equipped with a microwave.	character	Hotel rooms	hotel rooms are equipped with a microwave.means that<mask> hotel rooms are equipped with a microwave.	1.7785646377888042e-06	0.00028827687492594123	4.924391396343708e-05	0.0006342856795527041	0.0027023456059396267
Guns are used in self defense.	invirtue	Guns	guns are used in self defense.means that<mask> guns are used in self defense.	3.7277097817423055e-06	0.0007283430895768106	0.0005504789296537638	0.00028445327188819647	0.0007154156337492168
Detergents have a strong scent.	character	Detergents	detergents have a strong scent.means that<mask> detergents have a strong scent.	7.804240340192337e-06	0.0002835393825080246	1.842447090893984e-05	0.00036588223883882165	2.3754748326609842e-05
Crucifixions have been carried out in public places.	character	Crucifixions	crucifixions have been carried out in public places.means that<mask> crucifixions have been carried out in public places.	5.8845158491749316e-05	0.0013579773949459195	0.0007883918005973101	0.00018297639326192439	0.0001878968469100073
Compressions should only be performed by trained medical personnel.	character	Compressions	compressions should only be performed by trained medical personnel.means that<mask> compressions should only be performed by trained medical personnel.	1.0062097288709992e-07	3.0224391593947075e-05	1.6389341226386023e-06	7.380171155091375e-05	5.644807970384136e-05
Comets may have a tail.	character	Comets	comets may have a tail.means that<mask> comets may have a tail.	4.20038446691251e-07	0.00022129775607027113	5.594202775682788e-06	0.00010277482215315104	0.00010055071470560506
Clocks are synchronized to the second.	character	Clocks	clocks are synchronized to the second.means that<mask> clocks are synchronized to the second.	7.442697551596211e-07	0.00019082019571214914	0.0001278473500860855	0.0009349744650535285	0.0054093929938972
Cameras are used to take photos of people.	quasidef	Cameras	cameras are used to take photos of people.means that<mask> cameras are used to take photos of people.	3.737417273441679e-06	0.0004938013153150678	0.0008742446661926806	0.00015089582302607596	6.375247176038101e-05
Bumpers are made of metal.	invirtue	Bumpers	bumpers are made of metal.means that<mask> bumpers are made of metal.	7.759718556599182e-08	4.672908835345879e-05	9.116341061599087e-06	0.0003951522521674633	0.0012142903869971633
Bulldozers are used to clear land to make way for new housing.	invirtue	Bulldozers	bulldozers are used to clear land to make way for new housing.means that<mask> bulldozers are used to clear land to make way for new housing.	1.0571231541689485e-05	6.195664900587872e-05	0.00026436010375618935	3.5595017834566534e-05	6.355724053719314e-06
Bleaches may be used to whiten the teeth.	character	Bleaches	bleaches may be used to whiten the teeth.means that<mask> bleaches may be used to whiten the teeth.	5.60258085897658e-05	0.0011272471165284514	2.4813052732497454e-05	4.717240699392278e-06	6.74654347676551e-06
Baboons should be left alone in the wild.	quasidef	Baboons	baboons should be left alone in the wild.means that<mask> baboons should be left alone in the wild.	0.00014619050489272922	0.0001370651734760031	0.00014591951912734658	0.00017740705516189337	0.0019408735679462552
Air pollutions are caused by burning fossil fuels.	quasidef	Air pollutions	air pollutions are caused by burning fossil fuels.means that<mask> air pollutions are caused by burning fossil fuels.	8.811090810922906e-05	0.004875936545431614	0.0031667440198361874	0.005295020528137684	0.005434792023152113
Wild turkeys may be killed for their feathers.	character	Wild turkeys	wild turkeys may be killed for their feathers.means that<mask> wild turkeys may be killed for their feathers.	0.00012703058018814772	0.011754455044865608	0.0010324175236746669	0.0002875858044717461	0.00045271089766174555
Wild pigs are a nuisance.	character	Wild pigs	wild pigs are a nuisance.means that<mask> wild pigs are a nuisance.	2.59204171015881e-05	0.0012124928180128336	0.00015370402252301574	4.795012137037702e-05	0.0004473547451198101
Water heaters can be used to heat water in the kitchen.	character	Water heaters	water heaters can be used to heat water in the kitchen.means that<mask> water heaters can be used to heat water in the kitchen.	1.1503240784804802e-05	0.0007697910186834633	0.00011076018563471735	0.00017687134095467627	6.471743108704686e-05
Water heaters are used to heat water to a certain temperature.	invirtue	Water heaters	water heaters are used to heat water to a certain temperature.means that<mask> water heaters are used to heat water to a certain temperature.	5.318290277500637e-06	0.00042224727803841233	5.322235301719047e-05	0.0004829613899346441	0.0001127235300373286
