Telephones are used to communicate with the outside world.	quasidef	Telephones
Stilettos can be purchased online.	quasidef	Stilettos
Spaceships have to be able to move.	invirtue	Spaceships
Spaceships have some sort of power.	quasidef	Spaceships
Spaceships are used to travel.	quasidef	Spaceships
Skunks should be left alone.	character	Skunks
Raccoons are found in wooded areas.	invirtue	Raccoons
Pecans should be roasted.	invirtue	Pecans
Pecans have a nutty aroma.	quasidef	Pecans
Pecans have a hard shell.	quasidef	Pecans
Pecans can be found in their natural state in the wild.	character	Pecans
Lorries are used to transport goods from one point to another.	quasidef	Lorries
Insulations are made of a material.	character	Insulations
Ice creams have a thick, creamy consistency.	quasidef	Ice creams
Hotel rooms are equipped with a microwave.	character	Hotel rooms
Guns are used in self defense.	invirtue	Guns
Detergents have a strong scent.	character	Detergents
Crucifixions have been carried out in public places.	character	Crucifixions
Compressions should only be performed by trained medical personnel.	character	Compressions
Comets may have a tail.	character	Comets
Clocks are synchronized to the second.	character	Clocks
Cameras are used to take photos of people.	quasidef	Cameras
Bumpers are made of metal.	invirtue	Bumpers
Bulldozers are used to clear land to make way for new housing.	invirtue	Bulldozers
Bleaches may be used to whiten the teeth.	character	Bleaches
Baboons should be left alone in the wild.	quasidef	Baboons
Air pollutions are caused by burning fossil fuels.	quasidef	Air pollutions
Wild turkeys may be killed for their feathers.	character	Wild turkeys
Wild pigs are a nuisance.	character	Wild pigs
Water heaters can be used to heat water in the kitchen.	character	Water heaters
Water heaters are used to heat water to a certain temperature.	invirtue	Water heaters
Water heaters are used to heat water in the kitchen.	invirtue	Water heaters
Water heaters are equipped with a thermostat.	character	Water heaters
Wall fans have a fan blade attached to them.	quasidef	Wall fans
Swamps may have many different types of plants.	invirtue	Swamps
Strawberries have a sweet flavor.	character	Strawberries
Stairs are used to ascend.	invirtue	Stairs
Spider mites can be controlled.	character	Spider mites
Sparrows can be found in open areas.	character	Sparrows
Slates may be placed on the floor, table, counter, etc.	character	Slates
Skunks produce an odor.	quasidef	Skunks
Sea snails have a hard shell, which protects them from predators.	quasidef	Sea snails
Scenes may be set in the past, present, future.	invirtue	Scenes
Scenes are shot with a camera.	invirtue	Scenes
Remote controls may have buttons, switches, or dials.	quasidef	Remote controls
Radiators are designed to dissipate heat away from the system.	quasidef	Radiators
Quakes produce seismic waves.	quasidef	Quakes
Pressure cookers may be used in the kitchen.	quasidef	Pressure cookers
Pressure cookers may be set to high.	character	Pressure cookers
Pressure cookers have a maximum temperature range.	invirtue	Pressure cookers
Pressure cookers are used for cooking.	quasidef	Pressure cookers
Platelets may be isolated from the blood.	character	Platelets
Pecans may have to be peeled before eating them.	invirtue	Pecans
Pecans may be purchased from a local grocery.	character	Pecans
Pecans can be used to make a sweet, nutty dessert.	character	Pecans
Pecans can be removed from their shells with a knife.	character	Pecans
Paper clips are used to hold paper in place.	invirtue	Paper clips
Owls should be left alone.	character	Owls
Music groups are able to get their music played on the radio.	invirtue	Music groups
Mud flaps can be affixed to a vehicle to provide additional protection from road debris.	quasidef	Mud flaps
Mesh skimmers have been used to steal credit card information from retailers.	quasidef	Mesh skimmers
Managements are looking for ways to reduce costs.	character	Managements
Lightnings are associated with thunder.	quasidef	Lightnings
License plates are issued to vehicles.	quasidef	License plates
Ladles can be found in the kitchen.	invirtue	Ladles
Lactose intolerances have to be diagnosed by a doctor.	character	Lactose intolerances
Insulations are used to insulate a building.	quasidef	Insulations
Ice creams may have a higher fat content than other desserts.	character	Ice creams
Ice creams are sweetened with sugar.	invirtue	Ice creams
Human embryos are fertilized by sperm from the father.	quasidef	Human embryos
Hotel rooms have at least two beds.	character	Hotel rooms
Horses can be trained to do almost anything.	character	Horses
Horses are bred to be ridden.	quasidef	Horses
Hoes have been used to plow fields.	quasidef	Hoes
Hoes are used to plow fields or clear snow.	quasidef	Hoes
Hair gels produce a smooth, shiny surface.	character	Hair gels
Hair clips are attached to the head.	quasidef	Hair clips
Hair clips are attached to the hair.	quasidef	Hair clips
Guns may be used to commit a crime.	quasidef	Guns
Guns can be bought.	character	Guns
Family pets are predisposed to certain health issues.	character	Family pets
Dvd players are connected to a television via hdmi.	invirtue	Dvd players
Drummers are taught to play with their hands.	character	Drummers
Cudgels can be made of metal, wood, or other materials.	invirtue	Cudgels
Corrections are given to inmates who have committed serious crimes, including murder.	quasidef	Corrections
Cold storages are stored in the freezer.	character	Cold storages
Coincidences may be attributed to chance.	quasidef	Coincidences
Coasters are made of wood.	character	Coasters
Clothes dryers have a thermostat, which controls how hot your clothes get.	invirtue	Clothes
Clocks are set to the local timezone.	quasidef	Clocks
Cakes may have several layers.	character	Cakes
Cakes are made with a mix.	character	Cakes
Bulldozers have been used to clear the land.	invirtue	Bulldozers
Bows may have a string attached.	invirtue	Bows
Bobsleighs are used for the olympic games.	invirtue	Bobsleighs
Bleaches may have adverse effects on the skin.	character	Bleaches
Bay leaves are used to flavor soups, stews, or sauces.	quasidef	Bay leaves
Backhoes can be used to dig trenches, but it is also possible to use them to remove debris.	quasidef	Backhoes
Backhoes can be used to dig a hole.	quasidef	Backhoes
Apples are used to make cider, which is an alcoholic beverage.	invirtue	Apples
Ambulances may have to make multiple trips to the scene.	character	Ambulances
Ambulances can only take patients to the nearest hospital.	character	Ambulances
Abbeys have their own chapel.	quasidef	Abbeys
Stomachs are an important part of the body.	quasidef	Stomachs
Stimulants can be used to treat adhd.	character	Stimulants
Spaceships can be used to travel through space.	quasidef	Spaceships
Screws have a tendency to loosen.	character	Screws
Remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	character	Remote controls
Pressure cookers are a great way to cook large batches.	character	Pressure cookers
Pine trees are an important part of the natural environment.	quasidef	Pine trees
Inflammatory diseases may have multiple causes.	invirtue	Inflammatory diseases
Inflammatory diseases may be caused by an imbalance of the immune system.	quasidef	Inflammatory diseases
Zebras may be seen in the wild.	invirtue	Zebras
X-rays have been used to diagnose cancer in the past.	character	X-rays
Water parks may be closed due to inclement weather or other unforeseen circumstances.	invirtue	Water parks
Telephone books have lists of people.	quasidef	Telephone books
Technologies are developed to address specific problems.	quasidef	Technologies
Technologies are designed to be used for a specific purpose.	quasidef	Technologies
