quantifier	sent	category	subject	pos_target
Gen	Telephones are used to communicate with the outside world.	quasidef	Telephones	0
Few	Few telephones are used to communicate with the outside world.	quasidef	Telephones	1
Some	Some telephones are used to communicate with the outside world.	quasidef	Telephones	1
Many	Many telephones are used to communicate with the outside world.	quasidef	Telephones	1
Most	Most telephones are used to communicate with the outside world.	quasidef	Telephones	1
All	All telephones are used to communicate with the outside world.	quasidef	Telephones	1
Gen	Stilettos can be purchased online.	quasidef	Stilettos	0
Few	Few stilettos can be purchased online.	quasidef	Stilettos	1
Some	Some stilettos can be purchased online.	quasidef	Stilettos	1
Many	Many stilettos can be purchased online.	quasidef	Stilettos	1
Most	Most stilettos can be purchased online.	quasidef	Stilettos	1
All	All stilettos can be purchased online.	quasidef	Stilettos	1
Gen	Spaceships have to be able to move.	invirtue	Spaceships	0
Few	Few spaceships have to be able to move.	invirtue	Spaceships	1
Some	Some spaceships have to be able to move.	invirtue	Spaceships	1
Many	Many spaceships have to be able to move.	invirtue	Spaceships	1
Most	Most spaceships have to be able to move.	invirtue	Spaceships	1
All	All spaceships have to be able to move.	invirtue	Spaceships	1
Gen	Spaceships have some sort of power.	quasidef	Spaceships	0
Few	Few spaceships have some sort of power.	quasidef	Spaceships	1
Some	Some spaceships have some sort of power.	quasidef	Spaceships	1
Many	Many spaceships have some sort of power.	quasidef	Spaceships	1
Most	Most spaceships have some sort of power.	quasidef	Spaceships	1
All	All spaceships have some sort of power.	quasidef	Spaceships	1
Gen	Spaceships are used to travel.	quasidef	Spaceships	0
Few	Few spaceships are used to travel.	quasidef	Spaceships	1
Some	Some spaceships are used to travel.	quasidef	Spaceships	1
Many	Many spaceships are used to travel.	quasidef	Spaceships	1
Most	Most spaceships are used to travel.	quasidef	Spaceships	1
All	All spaceships are used to travel.	quasidef	Spaceships	1
Gen	Skunks should be left alone.	character	Skunks	0
Few	Few skunks should be left alone.	character	Skunks	1
Some	Some skunks should be left alone.	character	Skunks	1
Many	Many skunks should be left alone.	character	Skunks	1
Most	Most skunks should be left alone.	character	Skunks	1
All	All skunks should be left alone.	character	Skunks	1
Gen	Raccoons are found in wooded areas.	invirtue	Raccoons	0
Few	Few raccoons are found in wooded areas.	invirtue	Raccoons	1
Some	Some raccoons are found in wooded areas.	invirtue	Raccoons	1
Many	Many raccoons are found in wooded areas.	invirtue	Raccoons	1
Most	Most raccoons are found in wooded areas.	invirtue	Raccoons	1
All	All raccoons are found in wooded areas.	invirtue	Raccoons	1
Gen	Pecans should be roasted.	invirtue	Pecans	0
Few	Few pecans should be roasted.	invirtue	Pecans	1
Some	Some pecans should be roasted.	invirtue	Pecans	1
Many	Many pecans should be roasted.	invirtue	Pecans	1
Most	Most pecans should be roasted.	invirtue	Pecans	1
All	All pecans should be roasted.	invirtue	Pecans	1
Gen	Pecans have a nutty aroma.	quasidef	Pecans	0
Few	Few pecans have a nutty aroma.	quasidef	Pecans	1
Some	Some pecans have a nutty aroma.	quasidef	Pecans	1
Many	Many pecans have a nutty aroma.	quasidef	Pecans	1
Most	Most pecans have a nutty aroma.	quasidef	Pecans	1
All	All pecans have a nutty aroma.	quasidef	Pecans	1
Gen	Pecans have a hard shell.	quasidef	Pecans	0
Few	Few pecans have a hard shell.	quasidef	Pecans	1
Some	Some pecans have a hard shell.	quasidef	Pecans	1
Many	Many pecans have a hard shell.	quasidef	Pecans	1
Most	Most pecans have a hard shell.	quasidef	Pecans	1
All	All pecans have a hard shell.	quasidef	Pecans	1
Gen	Pecans can be found in their natural state in the wild.	character	Pecans	0
Few	Few pecans can be found in their natural state in the wild.	character	Pecans	1
Some	Some pecans can be found in their natural state in the wild.	character	Pecans	1
Many	Many pecans can be found in their natural state in the wild.	character	Pecans	1
Most	Most pecans can be found in their natural state in the wild.	character	Pecans	1
All	All pecans can be found in their natural state in the wild.	character	Pecans	1
Gen	Lorries are used to transport goods from one point to another.	quasidef	Lorries	0
Few	Few lorries are used to transport goods from one point to another.	quasidef	Lorries	1
Some	Some lorries are used to transport goods from one point to another.	quasidef	Lorries	1
Many	Many lorries are used to transport goods from one point to another.	quasidef	Lorries	1
